instant,dteday,season,yr,mnth,hr,weekday,daystatus,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,level_pengguna
1,2011-01-01,Spring,2011,Januari,0,Sabtu,Holiday,clear,0.24,0.2879,0.81,0.0,3,13,16,Low
2,2011-01-01,Spring,2011,Januari,1,Sabtu,Holiday,clear,0.22,0.2727,0.8,0.0,8,32,40,Low
3,2011-01-01,Spring,2011,Januari,2,Sabtu,Holiday,clear,0.22,0.2727,0.8,0.0,5,27,32,Low
4,2011-01-01,Spring,2011,Januari,3,Sabtu,Holiday,clear,0.24,0.2879,0.75,0.0,3,10,13,Low
5,2011-01-01,Spring,2011,Januari,4,Sabtu,Holiday,clear,0.24,0.2879,0.75,0.0,0,1,1,Low
6,2011-01-01,Spring,2011,Januari,5,Sabtu,Holiday,mist,0.24,0.2576,0.75,0.0896,0,1,1,Low
7,2011-01-01,Spring,2011,Januari,6,Sabtu,Holiday,clear,0.22,0.2727,0.8,0.0,2,0,2,Low
8,2011-01-01,Spring,2011,Januari,7,Sabtu,Holiday,clear,0.2,0.2576,0.86,0.0,1,2,3,Low
9,2011-01-01,Spring,2011,Januari,8,Sabtu,Holiday,clear,0.24,0.2879,0.75,0.0,1,7,8,Low
10,2011-01-01,Spring,2011,Januari,9,Sabtu,Holiday,clear,0.32,0.3485,0.76,0.0,8,6,14,Low
11,2011-01-01,Spring,2011,Januari,10,Sabtu,Holiday,clear,0.38,0.3939,0.76,0.2537,12,24,36,Low
12,2011-01-01,Spring,2011,Januari,11,Sabtu,Holiday,clear,0.36,0.3333,0.81,0.2836,26,30,56,Middle
13,2011-01-01,Spring,2011,Januari,12,Sabtu,Holiday,clear,0.42,0.4242,0.77,0.2836,29,55,84,Middle
14,2011-01-01,Spring,2011,Januari,13,Sabtu,Holiday,mist,0.46,0.4545,0.72,0.2985,47,47,94,Middle
15,2011-01-01,Spring,2011,Januari,14,Sabtu,Holiday,mist,0.46,0.4545,0.72,0.2836,35,71,106,Middle
16,2011-01-01,Spring,2011,Januari,15,Sabtu,Holiday,mist,0.44,0.4394,0.77,0.2985,40,70,110,Middle
17,2011-01-01,Spring,2011,Januari,16,Sabtu,Holiday,mist,0.42,0.4242,0.82,0.2985,41,52,93,Middle
18,2011-01-01,Spring,2011,Januari,17,Sabtu,Holiday,mist,0.44,0.4394,0.82,0.2836,15,52,67,Middle
19,2011-01-01,Spring,2011,Januari,18,Sabtu,Holiday,light snow,0.42,0.4242,0.88,0.2537,9,26,35,Low
20,2011-01-01,Spring,2011,Januari,19,Sabtu,Holiday,light snow,0.42,0.4242,0.88,0.2537,6,31,37,Low
21,2011-01-01,Spring,2011,Januari,20,Sabtu,Holiday,mist,0.4,0.4091,0.87,0.2537,11,25,36,Low
22,2011-01-01,Spring,2011,Januari,21,Sabtu,Holiday,mist,0.4,0.4091,0.87,0.194,3,31,34,Low
23,2011-01-01,Spring,2011,Januari,22,Sabtu,Holiday,mist,0.4,0.4091,0.94,0.2239,11,17,28,Low
24,2011-01-01,Spring,2011,Januari,23,Sabtu,Holiday,mist,0.46,0.4545,0.88,0.2985,15,24,39,Low
25,2011-01-02,Spring,2011,Januari,0,Minggu,Holiday,mist,0.46,0.4545,0.88,0.2985,4,13,17,Low
26,2011-01-02,Spring,2011,Januari,1,Minggu,Holiday,mist,0.44,0.4394,0.94,0.2537,1,16,17,Low
27,2011-01-02,Spring,2011,Januari,2,Minggu,Holiday,mist,0.42,0.4242,1.0,0.2836,1,8,9,Low
28,2011-01-02,Spring,2011,Januari,3,Minggu,Holiday,mist,0.46,0.4545,0.94,0.194,2,4,6,Low
29,2011-01-02,Spring,2011,Januari,4,Minggu,Holiday,mist,0.46,0.4545,0.94,0.194,2,1,3,Low
30,2011-01-02,Spring,2011,Januari,6,Minggu,Holiday,light snow,0.42,0.4242,0.77,0.2985,0,2,2,Low
31,2011-01-02,Spring,2011,Januari,7,Minggu,Holiday,mist,0.4,0.4091,0.76,0.194,0,1,1,Low
32,2011-01-02,Spring,2011,Januari,8,Minggu,Holiday,light snow,0.4,0.4091,0.71,0.2239,0,8,8,Low
33,2011-01-02,Spring,2011,Januari,9,Minggu,Holiday,mist,0.38,0.3939,0.76,0.2239,1,19,20,Low
34,2011-01-02,Spring,2011,Januari,10,Minggu,Holiday,mist,0.36,0.3485,0.81,0.2239,7,46,53,Middle
35,2011-01-02,Spring,2011,Januari,11,Minggu,Holiday,mist,0.36,0.3333,0.71,0.2537,16,54,70,Middle
36,2011-01-02,Spring,2011,Januari,12,Minggu,Holiday,mist,0.36,0.3333,0.66,0.2985,20,73,93,Middle
37,2011-01-02,Spring,2011,Januari,13,Minggu,Holiday,mist,0.36,0.3485,0.66,0.1343,11,64,75,Middle
38,2011-01-02,Spring,2011,Januari,14,Minggu,Holiday,light snow,0.36,0.3485,0.76,0.194,4,55,59,Middle
39,2011-01-02,Spring,2011,Januari,15,Minggu,Holiday,light snow,0.34,0.3333,0.81,0.1642,19,55,74,Middle
40,2011-01-02,Spring,2011,Januari,16,Minggu,Holiday,light snow,0.34,0.3333,0.71,0.1642,9,67,76,Middle
41,2011-01-02,Spring,2011,Januari,17,Minggu,Holiday,clear,0.34,0.3333,0.57,0.194,7,58,65,Middle
42,2011-01-02,Spring,2011,Januari,18,Minggu,Holiday,mist,0.36,0.3333,0.46,0.3284,10,43,53,Middle
